"","ID","School","SFR","Small.Classes","Big.Classes","Graduation.Rate","Freshman.Retention","Giving","Special"
"85",85,"Rutgers, the State University of New Jersey—New Brunswick",15,0.41,0.2,0.77,0.91,0.1,"No"
"86",86,"San Diego State University",21,0.22,0.24,0.66,0.83,0.02,"No"
"87",87,"San Jose State University",25,0.25,0.09,0.44,0.82,0.02,"No"
"88",88,"Southern Methodist University",12,0.58,0.08,0.74,0.89,0.19,"No"
"89",89,"Stanford University",6,0.7,0.13,0.95,0.98,0.34,"No"
"90",90,"University of Pittsburgh",14,0.42,0.18,0.78,0.92,0.13,"No"
"91",91,"University of South Alabama",22,0.42,0.08,0.37,0.68,0.02,"No"
"92",92,"University of South Carolina",19,0.38,0.11,0.68,0.87,0.17,"No"
"93",93,"University of South Florida",28,0.23,0.16,0.51,0.86,0.15,"No"
"94",94,"University of Southern Mississippi",18,0.43,0.11,0.47,0.74,0.13,"No"
"95",95,"Syracuse University",16,0.61,0.09,0.82,0.91,0.17,"No"
"96",96,"Temple University",19,0.33,0.08,0.65,0.87,0.08,"No"
"97",97,"Texas A&M University—College Station",19,0.21,0.23,0.79,0.92,0.21,"No"
"98",98,"Texas Christian University",13,0.4,0.08,0.74,0.86,0.18,"No"
"99",99,"Texas State University—San Marcos",19,0.19,0.19,0.55,0.78,0.05,"No"
"100",100,"Texas Tech University",23,0.22,0.24,0.63,0.82,0.15,"No"
"101",101,"Troy University",20,0.58,0.04,0.4,0.72,0.09,"No"
"102",102,"Tulane University",11,0.67,0.06,0.74,0.89,0.19,"No"
"103",103,"University of Tennessee",15,0.31,0.08,0.6,0.85,0.11,"No"
"104",104,"University of Texas—Austin",18,0.34,0.25,0.81,0.92,0.14,"No"
"105",105,"University of Toledo",19,0.34,0.31,0.45,0.68,0.05,"No"
"106",106,"University of Tulsa",11,0.7,0.01,0.65,0.88,0.22,"No"
"107",107,"University of Alabama—Birmingham",17,0.39,0.15,0.41,0.79,0.13,"No"
"108",108,"University of California—Los Angeles",16,0.52,0.22,0.9,0.97,0.13,"No"
"109",109,"University of Central Florida",31,0.28,0.23,0.63,0.86,0.16,"No"
"110",110,"University of Southern California",9,0.63,0.11,0.89,0.97,0.39,"No"
"111",111,"University of Texas—San Antonio",23,0.24,0.23,0.26,0.58,0.05,"No"
"112",112,"University of Utah",15,0.42,0.17,0.57,0.83,0.11,"No"
"113",113,"Utah State University",19,0.32,0.18,0.56,0.74,0.08,"No"
"114",114,"University of Virginia",16,0.52,0.16,0.93,0.97,0.22,"No"
"115",115,"University of Washington",12,0.33,0.21,0.8,0.93,0.15,"No"
"116",116,"University of Wyoming",14,0.42,0.1,0.53,0.73,0.1,"No"
"117",117,"Vanderbilt University",8,0.64,0.09,0.91,0.97,0.23,"No"
"118",118,"Virginia Tech",17,0.25,0.21,0.8,0.92,0.15,"No"
"119",119,"Wake Forest University",11,0.54,0.03,0.89,0.94,0.29,"No"
"120",120,"Washington State University",15,0.37,0.22,0.69,0.83,0.13,"No"
"121",121,"West Virginia University",23,0.32,0.19,0.59,0.8,0.12,"No"
"122",122,"Western Kentucky University",19,0.43,0.06,0.49,0.73,0.13,"No"
"123",123,"Western Michigan University",19,0.36,0.11,0.52,0.74,0.1,"No"
